No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
909,BIZ,BIZ Brands,Confectionery,Chocolate,USA,2844257.28,40.66,1.35,0.60,,11.52,"131,936",2.67,4.25%,3.88%,0.62,0.96,32.45%,70.07,15.47%,49.68%,
910,BJA,BJA Brands,Confectionery,Candy & Gum,USA,6273413.99,29.40,1.78,1.99,1.45,52.58,"431,144",-3.13,17.12%,1.18%,0.40,1.45,42.15%,54.27,23.79%,53.91%,
911,BJB,BJB Brands,Confectionery,Luxury Chocolate,USA,286349.57,19.71,1.92,0.96,1.94,34.35,"16,747",0.82,-4.37%,18.46%,0.47,0.95,55.61%,45.54,34.17%,42.63%,
912,BJC,BJC Foods Inc.,Confectionery,Chocolate,USA,21979909.18,10.38,1.13,1.06,2.41,42.62,"93,731",4.69,-15.82%,2.92%,0.25,1.16,57.41%,33.94,32.91%,55.50%,
913,BJD,BJD Brands,Confectionery,Candy & Gum,USA,824947.44,25.02,2.41,0.69,2.61,21.08,"18,359",0.98,-14.44%,14.34%,1.15,0.65,68.85%,46.57,43.94%,42.15%,
914,BJE,BJE Brands,Confectionery,Luxury Chocolate,USA,3233334.72,12.63,2.32,2.82,6.55,18.87,"195,263",0.19,1.83%,20.31%,0.20,0.23,82.62%,45.76,29.19%,39.48%,
915,BJF,BJF Foods Inc.,Confectionery,Chocolate,USA,799281.12,,1.51,2.72,1.62,33.16,"6,258",1.66,10.10%,21.68%,0.38,1.14,35.03%,47.48,28.42%,56.29%,
916,BJG,BJG Brands,Confectionery,Candy & Gum,USA,524123.54,12.94,0.88,0.38,1.38,17.37,"35,955",-0.01,-18.13%,7.42%,0.72,1.36,49.39%,34.67,33.61%,48.09%,
917,BJH,BJH Foods Inc.,Confectionery,Luxury Chocolate,USA,7115819.29,18.81,2.80,,2.94,82.74,"29,240",7.79,11.85%,1.75%,0.77,1.26,75.71%,29.69,13.10%,43.04%,
918,BJI,BJI Brands,Confectionery,Chocolate,USA,8781600.46,27.29,2.18,3.28,2.13,176.18,"91,660",2.43,14.25%,1.03%,1.60,1.17,33.58%,57.09,28.57%,47.89%,
919,BJJ,BJJ Brands,Confectionery,Candy & Gum,USA,48405007.45,27.76,2.65,3.18,0.84,63.06,"35,542",4.76,-14.79%,6.40%,1.07,1.19,31.32%,50.68,18.45%,52.64%,
920,BJK,BJK Brands,Confectionery,Luxury Chocolate,USA,17301683.80,,0.84,1.28,4.89,43.83,"40,415",1.67,-2.29%,17.18%,0.67,1.01,38.88%,54.12,28.92%,41.11%,
921,BJL,BJL Foods Inc.,Confectionery,Chocolate,USA,5993941.35,5.66,1.15,1.25,4.97,62.26,"213,767",6.44,13.55%,12.28%,1.08,1.16,55.80%,51.38,28.93%,49.98%,
922,BJM,BJM Brands,Confectionery,Candy & Gum,USA,8579498.33,35.01,,3.60,1.72,142.36,"702,656",1.07,10.09%,0.80%,0.16,0.38,62.56%,70.39,36.75%,53.67%,
923,BJN,BJN Co.,Confectionery,Luxury Chocolate,USA,12171360.12,7.71,2.27,2.03,1.66,65.55,"77,389",5.31,12.18%,-12.08%,1.01,1.18,70.36%,45.19,17.71%,30.33%,
924,BJO,BJO Co.,Confectionery,Chocolate,USA,2081681.75,25.43,0.84,2.41,0.68,21.35,"63,417",-0.73,15.47%,14.68%,2.93,0.36,57.16%,47.95,28.16%,46.73%,
925,BJP,BJP Co.,Confectionery,Candy & Gum,USA,3925694.73,13.55,2.23,3.67,1.70,42.90,"14,032",1.66,11.13%,15.34%,1.64,0.74,28.01%,27.38,30.39%,48.40%,
926,BJQ,BJQ Foods Inc.,Confectionery,Luxury Chocolate,USA,11742801.36,28.29,1.72,5.22,3.20,30.82,"54,413",4.02,-1.63%,-6.37%,0.70,0.20,68.59%,20.54,39.34%,40.19%,
927,BJR,BJR Brands,Confectionery,Chocolate,USA,554041.88,14.59,0.81,1.61,1.63,42.50,"250,574",4.68,2.27%,11.78%,0.79,1.64,36.83%,48.01,30.78%,44.81%,
928,BJS,BJS Foods Inc.,Confectionery,Candy & Gum,USA,919811.06,19.32,,3.71,1.56,24.35,"50,647",5.28,4.30%,22.65%,1.42,0.23,29.28%,55.93,18.41%,46.40%,
929,BJT,BJT Brands,Confectionery,Luxury Chocolate,USA,4939616.01,48.99,1.11,1.62,0.79,92.54,"1,615",4.79,28.75%,6.23%,1.91,0.60,20.84%,58.87,39.62%,38.42%,
930,BJU,BJU Foods Inc.,Confectionery,Chocolate,USA,3671176.95,22.36,2.70,0.63,4.10,175.35,"2,123",1.83,20.67%,9.27%,0.25,1.18,77.53%,65.70,48.34%,45.47%,
931,BJV,BJV Foods Inc.,Confectionery,Candy & Gum,USA,17934049.60,26.04,0.86,0.87,2.26,27.05,"12,341",-1.21,10.52%,3.39%,0.72,1.22,67.16%,60.59,32.93%,49.02%,
932,BJW,BJW Foods Inc.,Confectionery,Luxury Chocolate,USA,255500.59,17.45,1.16,1.74,0.96,33.33,"16,231",0.60,-7.36%,-0.93%,0.27,0.96,42.57%,36.04,35.96%,40.84%,
933,BJX,BJX Brands,Confectionery,Chocolate,USA,56586345.46,17.68,2.79,1.15,0.83,111.63,"2,195",1.30,13.65%,7.13%,0.28,0.49,26.38%,59.55,44.35%,36.22%,
934,BJY,BJY Foods Inc.,Confectionery,Candy & Gum,USA,20684164.82,17.34,3.60,2.34,1.87,31.99,"25,498",2.71,8.00%,2.93%,0.53,1.21,30.30%,47.63,33.67%,27.98%,
935,BJZ,BJZ Foods Inc.,Confectionery,Luxury Chocolate,USA,7610245.65,27.35,1.54,1.02,5.79,115.50,"147,081",1.98,-8.64%,10.92%,0.45,0.33,52.12%,42.41,28.47%,46.31%,
936,BKA,BKA Foods Inc.,Confectionery,Chocolate,USA,992460.44,14.24,1.86,0.50,1.78,44.08,"17,986",9.38,0.94%,9.91%,1.84,1.18,56.27%,46.57,23.19%,22.71%,
937,BKB,BKB Foods Inc.,Confectionery,Candy & Gum,USA,2032188.17,65.32,1.10,0.44,7.51,16.30,"20,241",3.35,17.85%,15.81%,0.31,0.48,27.29%,59.02,36.35%,36.20%,
938,BKC,BKC Foods Inc.,Confectionery,Luxury Chocolate,USA,2836152.89,17.40,0.81,1.21,1.42,59.00,"28,905",3.02,8.23%,15.06%,0.56,0.73,60.15%,51.01,34.03%,51.32%,
939,BKD,BKD Brands,Confectionery,Chocolate,USA,1186294.02,12.27,1.19,2.93,2.04,23.61,"21,298",2.54,-5.22%,7.45%,0.44,0.82,25.51%,42.30,42.64%,40.59%,
940,BKE,BKE Foods Inc.,Confectionery,Candy & Gum,USA,2395469.61,37.85,1.84,6.97,1.63,8.79,"184,047",1.64,9.74%,16.03%,0.31,0.41,38.88%,48.80,30.63%,50.22%,
941,BKF,BKF Foods Inc.,Confectionery,Luxury Chocolate,USA,5333910.03,27.07,0.92,1.14,4.20,107.51,"126,729",2.51,2.71%,21.24%,0.13,0.72,41.96%,41.72,25.49%,46.69%,
942,BKG,BKG Foods Inc.,Confectionery,Chocolate,USA,10003572.60,23.20,0.65,0.44,2.75,78.21,"9,378",2.27,3.93%,12.43%,2.12,1.30,19.47%,46.11,30.92%,37.86%,
943,BKH,BKH Brands,Confectionery,Candy & Gum,USA,3489502.73,24.08,1.02,1.74,1.19,44.33,"173,413",-1.99,0.34%,4.52%,2.50,0.83,42.13%,63.54,40.52%,37.97%,
944,BKI,BKI Co.,Confectionery,Luxury Chocolate,USA,11075487.69,17.44,4.70,,3.01,54.10,"449,229",1.24,1.02%,3.84%,0.41,1.01,24.88%,55.41,29.58%,37.96%,
945,BKJ,BKJ Foods Inc.,Confectionery,Chocolate,USA,2680626.34,21.84,,3.90,2.14,51.58,"27,595",0.03,27.28%,6.44%,0.31,0.90,39.87%,58.46,33.06%,46.49%,
946,BKK,BKK Foods Inc.,Confectionery,Candy & Gum,USA,4039720.84,37.20,0.51,1.29,1.00,26.77,"11,914",2.53,-4.62%,8.31%,0.79,0.69,30.43%,58.29,47.47%,50.09%,
947,BKL,BKL Foods Inc.,Confectionery,Luxury Chocolate,USA,13917305.75,19.55,0.64,0.36,0.63,322.03,"18,068",2.16,7.60%,27.29%,0.82,1.01,18.36%,81.70,25.30%,30.77%,
948,BKM,BKM Co.,Confectionery,Chocolate,USA,1148940.46,21.15,1.15,1.17,,39.44,"119,458",1.79,-16.29%,6.21%,0.59,0.82,26.43%,64.87,35.36%,29.53%,
949,BKN,BKN Foods Inc.,Confectionery,Candy & Gum,USA,12931921.14,15.18,1.91,1.89,2.28,18.96,"54,382",3.88,2.88%,14.36%,0.42,1.11,45.40%,42.38,28.91%,46.79%,
950,BKO,BKO Brands,Confectionery,Luxury Chocolate,USA,6821086.85,10.72,2.09,1.53,0.88,71.19,"452,737",3.81,-7.07%,-2.38%,1.11,0.47,82.53%,54.98,42.46%,41.42%,
951,BKP,BKP Brands,Confectionery,Chocolate,USA,11263944.76,25.78,1.84,0.88,,19.17,"24,212",-0.01,-3.31%,13.49%,0.29,0.69,66.06%,46.72,33.80%,23.03%,
952,BKQ,BKQ Co.,Confectionery,Candy & Gum,USA,1955356.30,35.91,0.34,0.98,2.63,57.82,"1,329,394",3.48,14.93%,8.79%,2.68,1.19,30.89%,28.87,56.43%,43.57%,
953,BKR,BKR Brands,Confectionery,Luxury Chocolate,USA,33833072.36,19.28,1.63,3.41,,66.56,"118,685",-0.03,-8.10%,10.27%,0.88,0.64,62.37%,57.01,28.45%,35.83%,
954,BKS,BKS Foods Inc.,Confectionery,Chocolate,USA,3778357.36,9.19,1.14,1.15,5.08,34.40,"50,677",4.13,-4.49%,1.42%,0.39,0.69,30.93%,38.23,37.85%,53.51%,
955,BKT,BKT Co.,Confectionery,Candy & Gum,USA,783065.06,16.58,,2.31,2.85,24.44,"174,137",2.82,8.32%,0.25%,0.59,1.83,32.36%,75.23,33.52%,37.90%,
956,BKU,BKU Foods Inc.,Confectionery,Luxury Chocolate,USA,3759306.06,24.84,2.04,0.95,4.26,42.23,"536,285",0.10,4.13%,21.90%,2.08,1.49,29.99%,55.09,41.86%,41.04%,
957,BKV,BKV Co.,Confectionery,Chocolate,USA,8036939.87,,1.09,,3.33,112.29,"31,748",2.87,-10.41%,7.09%,0.45,0.98,11.68%,83.42,29.21%,45.77%,
958,BKW,BKW Foods Inc.,Confectionery,Candy & Gum,USA,3135226.94,16.26,4.41,1.08,1.47,20.65,"15,229",2.34,-3.82%,13.19%,1.13,0.56,14.25%,44.77,47.10%,39.54%,
959,BKX,BKX Foods Inc.,Confectionery,Luxury Chocolate,USA,7526662.69,17.54,5.03,1.13,1.82,48.50,"54,139",4.99,2.15%,-4.06%,0.36,0.78,27.91%,68.20,44.75%,20.41%,
960,BKY,BKY Co.,Confectionery,Chocolate,USA,11580526.07,22.57,0.91,1.84,1.86,141.55,"65,278",-0.64,-1.20%,17.44%,0.51,0.99,75.81%,65.43,25.57%,32.85%,
961,BKZ,BKZ Brands,Confectionery,Candy & Gum,USA,15159854.86,17.70,3.18,0.22,2.56,38.71,"31,239",4.11,5.67%,9.46%,0.72,0.90,60.42%,58.64,36.69%,45.44%,
962,BLA,BLA Brands,Confectionery,Luxury Chocolate,USA,618058.22,34.26,1.26,0.79,1.77,20.48,"230,212",4.60,-5.47%,3.66%,0.30,0.97,62.30%,50.61,26.37%,33.02%,
963,BLB,BLB Foods Inc.,Confectionery,Chocolate,USA,466324.48,,2.80,0.92,3.09,23.92,"19,262",0.99,14.86%,3.49%,0.60,0.46,41.36%,45.23,20.71%,52.47%,
964,BLC,BLC Foods Inc.,Confectionery,Candy & Gum,USA,4564119.11,,1.61,2.06,2.30,54.08,"2,914",-0.96,22.01%,8.14%,0.61,0.60,32.86%,35.68,42.33%,23.95%,
965,BLD,BLD Foods Inc.,Confectionery,Luxury Chocolate,USA,28572623.15,18.13,0.88,0.97,2.33,126.70,"5,380",-0.70,3.19%,1.60%,0.78,0.67,32.54%,86.32,27.48%,39.06%,
966,BLE,BLE Co.,Confectionery,Chocolate,USA,6825536.26,20.29,3.25,6.03,,69.35,"18,414",0.78,-0.36%,5.22%,0.38,1.62,57.14%,49.07,19.36%,27.06%,
967,BLF,BLF Foods Inc.,Confectionery,Candy & Gum,USA,1409903.02,10.79,1.28,6.26,3.36,49.38,"4,958",1.02,15.13%,11.08%,0.56,0.77,12.65%,44.05,25.56%,56.46%,
968,BLG,BLG Co.,Confectionery,Luxury Chocolate,USA,2476542.41,9.99,7.12,1.45,1.29,26.91,"157,428",5.94,-25.92%,-13.40%,0.67,0.87,45.36%,29.28,36.94%,38.54%,
969,BLH,BLH Foods Inc.,Confectionery,Chocolate,USA,2655690.60,23.03,1.55,0.67,3.39,92.94,"19,313",5.07,5.24%,3.61%,0.86,0.94,53.24%,65.07,31.36%,34.95%,
970,BLI,BLI Foods Inc.,Confectionery,Candy & Gum,USA,1222711.90,18.27,0.72,0.96,1.89,38.87,"321,952",1.29,0.29%,28.11%,0.70,1.41,27.73%,58.18,27.71%,46.78%,
971,GODIVA,Godiva Prestige Chocolatier SA,Confectionery,Luxury Chocolate,Switzerland,420000.00,38.00,3.40,6.80,9.20,18750.00,"4,200",490.00,5.00%,4.50%,0.35,0.62,18.00%,61.00,58.00%,22.00%,
